kanji,readings,meaning
納,のう,Supply
肺,はい,Lung
著,ちょ,Author
蒸,じょう,Steam
蔵,ぞう,Storehouse
装,そう,Attire
裏,うら,"Backside, Underside, Reverse"
諸,しょ,Various
賃,ちん,Rent
誤,ご,Mistake
臓,ぞう,Internal Organs
貴,き,Valuable
降,こう,Descend
丼,どん,Rice Bowl
吐,は,"Throw Up, Spit, Vomit"
奴,ど,Dude
隷,れい,Slave
芋,いも,Potato
縮,しゅく,Shrink
純,じゅん,Pure
縦,たて,Vertical
粋,すい,Stylish
聖,せい,Holy
磁,じ,Magnet
紅,こう,"Deep Red, Crimson"
射,しゃ,Shoot
幕,まく,Curtain
拝,はい,Worship
薦,せん,Recommend
推,すい,Infer
揮,き,Brandish
沿,えん,Run Alongside
源,げん,Origin
劇,げき,Drama
勤,きん,Work
歓,かん,Delight
承,しょう,Consent
損,そん,"Loss, Hurt"
枝,えだ,Branch
爪,つめ,Claw
豆,とう,Beans
刻,こく,Carve
腐,ふ,Rot
遅,ち,"Slow, Late"
彫,ちょう,Carve
測,そく,Measure
破,は,Tear
舎,しゃ,Cottage
講,こう,Lecture
滞,たい,Stagnate
紹,しょう,Introduce
介,かい,Jammed In
己,こ,"Oneself, Self"
厄,やく,Unlucky
亀,かめ,Turtle
互,ご,Mutual
剣,けん,Sword
寿,じゅ,"Lifespan, Longevity"
彼,かれ,He
恥,は,Shame
杉,すぎ,Cedar
汁,じゅう,Soup
噌,そ,Boisterous
炎,えん,"Flame, Blaze"
為,い,Sake
熊,くま,Bear
獄,ごく,Prison
酔,すい,Drunk
酢,す,Vinegar
鍋,なべ,Pot
湖,こ,Lake
銅,どう,Copper
払,はら,Pay
油,ゆ,Oil
醤,しょう,Soy Sauce
旧,きゅう,Former
姓,せい,"Family Name, Surname"
貿,ぼう,Trade
将,しょう,Commander
盟,めい,Alliance
遺,い,Leave Behind
伸,の,Stretch
債,さい,Debt
及,きゅう,Reach
奈,な,Nara
幅,はば,Width
廃,はい,Obsolete
甘,あま,Sweet
換,かん,Exchange
摘,てき,Pluck
核,かく,Nucleus
沖,おき,Open Sea
縄,じょう,Rope
津,つ,Harbor
献,けん,Offer
療,りょう,Heal
継,けい,Inherit
維,い,Maintain
舞,ぶ,Dance
伎,き,Deed
踏,とう,Step
般,はん,"Generally, General"
頼,らい,Trust
依,い,"Reliant, Dependent"
鹿,か,Deer
諾,だく,Agreement
牙,げ,"Fang, Tusk"
跳,ちょう,Hop
昭,しょう,Shining
漁,ぎょ,Fishing
償,しょう,Reparation
刑,けい,Punish
募,ぼ,Recruit
執,しゅう,Tenacious
塁,るい,"Base, Baseball Base"
崩,ほう,Crumble
患,かん,Afflicted
戻,もど,Return
抗,こう,Confront
抵,てい,Resist
旬,しゅん,"In Season, Time Of Month, Season"
湾,わん,Gulf
爆,ばく,Explode
弾,だん,Bullet
聴,ちょう,Listen
跡,せき,Traces
遣,けん,Dispatch
闘,とう,Struggle
陣,じん,Army Base
香,こう,Fragrance
兆,ちょう,"Omen, Trillion"
臨,りん,Look To
削,さく,Whittle Down
契,けい,Pledge
恵,え,Favor
抱,だ,Hug
掲,けい,Display
狙,そ,Aim
葬,そう,Burial
需,じゅ,Demand
齢,れい,Age
宜,よろ,Best Regards
繰,く,Spin
避,ひ,"Dodge, Avoid"
妊,にん,Pregnant
娠,しん,Pregnant
致,ち,Do
刊,かん,Edition
奏,そう,Play Music
伴,はん,Accompany
併,へい,Join
傾,けい,Lean
却,きゃく,Contrary
奥,おく,Interior
慮,りょ,Consider
懸,けん,Suspend
房,ぼう,Cluster
扱,あつか,Handle
抑,よく,Suppress
択,たく,Select
描,びょう,Draw
盤,ばん,"Tray, Platter, Board"
称,しょう,Title
緒,しょ,Together
緩,ゆる,Loose
託,たく,Consign
賄,わい,Bribe
賂,ろ,Bribe
贈,ぞう,Presents
逃,とう,Escape
還,かん,Send Back
超,ちょう,"Ultra, Super"
邦,ほう,Home Country
鈴,りん,"Buzzer, Small Bell"
阜,ふ,Mound
岐,き,Branch Off
隆,りゅう,Prosperity
雇,こ,Employ
控,ひか,Abstain
壁,かべ,Wall
棋,き,Chess Piece
渋,じゅう,"Bitter, Astringent, Reluctant"
片,かた,"One Sided, Fragment"
群,ぐん,Flock
仙,せん,Hermit
充,じゅう,Allocate
免,めん,Excuse
勧,かん,Recommend
圏,けん,"Range, Sphere"
埋,う,Bury
埼,さい,Cape
奪,うば,Rob
御,ご,Honorable
慎,しん,Humility
拒,きょ,"Refuse, Refusal"
枠,わく,Frame
甲,こう,"Turtle Shell, A"
斐,い,Patterned
祉,し,Welfare
稲,いね,Rice Plant
譲,じょう,Defer
謙,けん,Modesty
躍,やく,Leap
銃,じゅう,Gun
項,こう,Paragraph
鋼,こう,Steel
顧,こ,Review
駐,ちゅう,Resident
駆,か,Gallop
柱,ちゅう,Pillar
唱,しょう,Chant
孝,こう,Filial Piety
俊,しゅん,Genius
兼,けん,Concurrently
剤,ざい,Dose
吹,ふ,Blow
堀,ほり,Ditch
巡,じゅん,Patrol
戒,かい,Commandment
排,はい,"Reject, Refuse"
携,けい,Portable
敏,びん,Alert
鋭,えい,Sharp
敷,しき,Spread
殿,でん,"Milord, Lord"
犠,ぎ,Sacrifice
獲,かく,Seize
茂,も,Luxuriant
繁,はん,Overgrown
頻,ひん,Frequent
殖,しょく,Multiply
薄,はく,Dilute
衝,しょう,Collide
誉,よ,Honor
褒,ほう,Praise
透,とう,Transparent
隣,りん,"Neighbor, Neighbour"
雅,が,Elegant
遜,そん,Humble
伺,うかが,Pay Respects
徹,てつ,"Penetrate, Clear"
瀬,せ,"Rapids, Shallows"
撤,てつ,Withdrawal
措,そ,Set Aside
拠,きょ,Based On
儀,ぎ,Ceremony
樹,じゅ,Wood
棄,き,Abandon
虎,とら,Tiger
蛍,ほたる,Firefly
蜂,はち,Bee
酎,ちゅう,Hard Liquor
蜜,みつ,"Honey, Nectar"
墟,きょ,Ruins
艦,かん,Warship
潜,せん,Conceal
拳,けん,Fist
炭,たん,Charcoal
畑,はたけ,Field
包,ほう,Wrap
衣,い,Clothes
仁,じん,Humanity
鉱,こう,Mineral
至,し,Attain
誠,せい,Sincerity
郷,きょう,Hometown
侵,しん,Invade
偽,ぎ,Fake
克,こく,Overcome
到,とう,Arrival
双,そう,Pair
哲,てつ,Philosophy
喪,そう,Mourning
堅,かた,Solid
床,しょう,"Floor, Bed"
括,かつ,Fasten
弧,こ,Arc
挑,ちょう,Challenge
掘,くつ,Dig
揚,あ,Hoist
握,あく,Grip
揺,よう,Shake
斎,さい,Purification
暫,ざん,Temporarily
析,せき,Analysis
枢,すう,Hinge
軸,じく,"Axis, Axle"
柄,がら,Pattern
泊,はく,Overnight
滑,かつ,Slippery
潟,かた,Lagoon
焦,しょう,Char
範,はん,Example
紛,ふん,Distract
糾,きゅう,Twist
綱,つな,Rope
網,もう,Netting
肝,かん,Liver
芝,しば,Lawn
荒,あ,Wild
袋,ふくろ,Sack
誰,だれ,Who
珍,ちん,Rare
裂,れつ,"Split, Tear"
襲,しゅう,Attack
貢,こう,Tribute
趣,しゅ,Charm
距,きょ,Distance
籍,せき,Enroll
露,ろ,"Expose, Dew"
牧,ぼく,Pasture
刷,さつ,Printing
朗,ろう,Bright
潮,ちょう,Tide
即,そく,Instant
垣,かき,"Hedge, Fence"
威,い,"Dignity, Might"
封,ふう,"Seal, Seal In, Closing"
筒,とう,"Cylinder, Tube, Pipe"
岳,がく,Peak
慰,い,Consolation
懇,こん,Courteous
懲,ちょう,Chastise
摩,ま,Chafe
擦,さつ,Rub
撲,ぼく,Slap
斉,せい,Simultaneous
旨,し,"Point, Delicious"
柔,じゅう,Gentle
沈,ちん,Sink
沼,ぬま,Bog
泰,たい,Peace
滅,めつ,Destroy
滋,じ,Nourishing
炉,ろ,Furnace
琴,こと,"Harp, Zither, Koto"
寸,すん,Measurement
竜,りゅう,Dragon
縁,えん,Edge
翼,よく,Wing
吉,きつ,Good Luck
刃,は,Blade
忍,にん,Endure
桃,もも,Peach
辛,から,Spicy
謎,なぞ,Riddle
侍,さむらい,Samurai
俺,おれ,"I, Me"
叱,しか,Scold
娯,ご,Recreation
斗,と,"Ladle, Dipper, Volume"
朱,しゅ,Vermilion
丘,きゅう,Hill
梨,なし,Pear
僕,ぼく,"I, Me"
匹,ひき,"Small Animal, Small Animal Counter"
叫,きょう,Shout
釣,つ,Fishing
髪,かみ,Hair
嵐,あらし,Storm
笠,かさ,Conical Hat
涙,るい,Teardrop
缶,かん,"Can, Tin Can"
姫,ひめ,Princess
棚,たな,Shelf
粒,りゅう,Grains
砲,ほう,Cannon
雷,らい,Thunder
芽,め,Sprout
塔,とう,Tower
澄,す,Lucidity
矛,む,Spear
肌,はだ,Skin
舟,ふね,Boat
鐘,しょう,Bell
凶,きょう,Villain
塊,かたまり,Lump
狩,か,Hunt
頃,ころ,Approximate
魂,こん,"Soul, Spirit"
脚,きゃく,Leg
也,なり,Considerably
井,い,Well
呪,のろ,Curse
嬢,じょう,Miss
暦,れき,Calendar
曇,くも,Cloudy
眺,ちょう,Stare
裸,ら,"Naked, Nude"
賭,か,Gamble
疲,ひ,Exhausted
塾,じゅく,Cram School
卓,たく,Table
磨,みが,Polish
菌,きん,Bacteria
陰,いん,Shade
霊,れい,Ghost
湿,しつ,Damp
硬,こう,Stiff
稼,か,Earnings
嫁,よめ,Bride
溝,こう,Gutter
滝,たき,Waterfall
狂,きょう,"Lunatic, Crazy"
翔,かけ,Fly
墨,すみ,"Black Ink, Ink"
鳩,はと,"Dove, Pigeon"
穏,おん,Calm
鈍,どん,Dull
魔,ま,Devil
寮,りょう,Dormitory
盆,ぼん,"Lantern Festival, Tray"
棟,とう,Pillar
吾,わが,"I, Me"
斬,ざん,Slice
寧,ねい,Rather
椅,い,Chair
歳,さい,Years Old
涼,すず,Cool
猿,さる,Monkey
瞳,どう,Pupil
鍵,かぎ,Key
零,れい,"Zero, Spill"
碁,ご,Go
租,そ,Tariff
幽,ゆう,Secluded
泡,ほう,Bubbles
癖,くせ,Habit
鍛,たん,Forge
錬,れん,Tempering
穂,ほ,"Head of Plant, Ear Of Plant"
帝,てい,Sovereign
瞬,しゅん,Blink
菊,きく,Chrysanthemum
誇,こ,Pride
庄,しょう,Manor
阻,そ,Thwart
黙,もく,Shut Up
俵,ひょう,Sack
綿,めん,Cotton
架,か,Shelf
砕,さい,Smash
粘,ねん,Sticky
粧,しょう,Cosmetics
欺,ぎ,Deceit
詐,さ,Lie
霧,きり,Fog
柳,りゅう,Willow
伊,い,Italy
佐,さ,Help
尺,しゃく,"Shaku, Japanese Foot"
哀,あい,Pathetic
唇,くちびる,Lips
塀,へい,Fence
墜,つい,Crash
如,じょ,Likeness
婆,ば,Old Woman
崖,がけ,Cliff
帽,ぼう,Hat
幣,へい,Cash
恨,こん,Grudge
憎,ぞう,Hate
憩,けい,Rest
扇,せん,Folding Fan
扉,ひ,Front Door
挿,そう,Insert
掌,しょう,Manipulate
滴,てき,Drip
炊,すい,Cook
爽,さわ,Refreshing
畳,じょう,Tatami Mat
瞭,りょう,Clear
箸,はし,Chopsticks
胴,どう,Torso
芯,しん,Wick
虹,にじ,Rainbow
帳,ちょう,Notebook
蚊,か,Mosquito
蛇,へび,Snake
貼,は,Paste
辱,じょく,Humiliate
鉢,はち,Bowl
闇,やみ,Darkness
隙,すき,Crevice
霜,しも,Frost
飢,き,Starve
餓,が,Starve
畜,ちく,Livestock
迅,じん,Swift
騎,き,Horse Riding
蓄,ちく,Amass
尽,じん,"Use Up, Exhaust"
彩,さい,"Coloring, Colouring"
憶,おく,Recollection
溶,よう,Melt
耐,たい,Resistant
踊,おど,Dance
賢,けん,Clever
輝,き,Radiance
脅,きょう,Threaten
麻,ま,Hemp
灯,とう,Lamp
咲,さ,"Blossom, Bloom"
培,ばい,Cultivate
悔,かい,Regret
脇,わき,Armpit
遂,すい,Accomplish
班,はん,Squad
塗,と,Paint
斜,しゃ,Diagonal
殴,おう,Assault
盾,じゅん,Shield
穫,かく,Harvest
巾,きん,Towel
駒,こま,Chess Piece
紫,し,Purple
抽,ちゅう,Pluck
誓,せい,Vow
悟,ご,Comprehension
拓,たく,Cultivation
拘,こう,Arrest
礎,そ,"Foundation, Cornerstone"
鶴,つる,Crane
刈,か,Prune
剛,ごう,Sturdy
唯,ゆい,Solely
壇,だん,Podium
尼,に,Nun
概,がい,Approximation
浸,しん,Immersed
淡,たん,Faint
煮,に,Boil
覆,ふく,"Capsize, Cover"
謀,ぼう,Conspire
陶,とう,Pottery
隔,かく,Isolate
征,せい,Subjugate
陛,へい,Highness
俗,ぞく,Vulgar
桑,くわ,Mulberry
潤,じゅん,Watered
珠,しゅ,Pearl
衰,すい,Decline
奨,しょう,Encourage
劣,れつ,Inferiority
勘,かん,Intuition
妃,ひ,"Princess, Queen"
丈,じょう,"Height, Ten Feet"
峰,ほう,Summit
巧,こう,Adept
邪,じゃ,Wicked
駄,だ,Burdensome
唐,とう,"China, Sudden"
廷,てい,Courts
鬱,うつ,Gloom
鰐,わに,"Alligator, Crocodile"
蟹,かに,Crab
簿,ぼ,Record Book
彰,しょう,Clear
漫,まん,Manga
訂,てい,Revise
諮,し,Consult
銘,めい,Inscription
堰,せき,Dam
堤,てい,Embankment
漂,ひょう,Drift
翻,ほん,Flip
軌,き,Rut
后,こう,Empress
奮,ふん,Stirred Up
亭,てい,"Restaurant, Inn, Pavilion"
仰,ぎょう,Look Up To
伯,はく,Chief
偶,ぐう,Accidentally
淀,よど,Eddy
墳,ふん,Tomb
壮,そう,Robust
把,は,"Bundle, Grasp"
搬,はん,Transport
晶,しょう,Crystal
洞,どう,Cave
涯,がい,Horizon
疫,えき,Epidemic
孔,こう,"Cavity, Hole"
偉,い,Greatness
頂,ちょう,"Summit, Humbly"
召,しょう,"Call, Eat"
挟,はさ,Between
枯,こ,Wither
沸,ふつ,Boil
濯,たく,Wash
燥,そう,Dry Up
瓶,びん,"Bottle, Jar"
耕,こう,Plow
肯,こう,"Agreement, Consent"
脂,し,Fat
膚,ふ,Skin
軒,けん,"House Counter, Eaves"
軟,なん,Soft
郊,こう,Suburbs
隅,すみ,Corner
隻,せき,Ship Counter
邸,てい,Residence
郡,ぐん,"County, District"
釈,しゃく,Explanation
肪,ぼう,"Obese, Fat"
喚,かん,"Scream, Yell"
媛,ひめ,"Princess, Beautiful Woman"
貞,てい,Chastity
玄,げん,Mysterious
苗,みょう,"Seedling, Sapling"
渦,か,Whirlpool
慈,じ,Mercy
襟,えり,Collar
蓮,れん,Lotus
亮,りょう,Clear
聡,そう,Wise
浦,うら,Bay
塚,つか,Mound
陥,かん,Cave In
貫,かん,"Pierce, Sushi Counter"
覇,は,Leadership
呂,ろ,Bath
茨,いばら,"Briar, Thorn"
擁,よう,Embrace
孤,こ,"Orphan, Alone"
賠,ばい,"Compensation, Compensate"
鎖,さ,Chain
噴,ふん,Erupt
祥,しょう,Auspicious
牲,せい,"Offering, Sacrifice"
秩,ちつ,"Order, Regularity"
唆,さ,Instigate
膨,ぼう,Swell
芳,ほう,Perfume
恒,こう,"Constant, Always"
倫,りん,Ethics
陳,ちん,Exhibit
須,す,Necessary
偏,へん,Biased
遇,ぐう,Treatment
糧,りょう,Provisions
殊,しゅ,Especially
慢,まん,"Ridicule, Laziness"
没,ぼつ,Die
怠,たい,"Lazy, Neglect"
遭,そう,"Encounter, Meet"
惰,だ,Lazy
猟,りょう,Hunting
乃,の,From
綾,あや,Design
颯,さつ,"Quick, Sudden"
隼,はやぶさ,Falcon
輔,すけ,Help
寛,かん,Tolerance
胞,ほう,"Cell, Placenta"
浄,じょう,"Cleanse, Purify"
随,ずい,All
稿,こう,Draft
丹,たん,"Rust Colored, Red, Sincerity "
壌,じょう,"Soil, Earth"
舗,ほ,"Shop, Store"
騰,とう,Inflation
緯,い,Latitude
艇,てい,Rowboat
披,ひ,Expose
錦,にしき,Brocade
准,じゅん,"Semi, Ratify"
剰,じょう,Surplus
繊,せん,"Fiber, Slender"
諭,ゆ,Admonish
惨,さん,Disaster
虐,ぎゃく,Oppress
据,す,Install
徐,じょ,"Gently, Gentle"
搭,とう,"Board, Embark"
蒙,もう,Darkness
鯉,こい,"Carp, Koi"
戴,たい,Receive
緋,ひ,Scarlet
曙,あけぼの,Dawn
胡,こ,Barbarian
瓜,か,Melon
帥,すい,Commander
啓,けい,Enlighten
葵,あおい,Hollyhock
駿,しゅん,Speed
諒,りょう,"Comprehend, Reality"
莉,り,Jasmine
鯨,げい,Whale
荘,そう,Villa
栽,さい,Planting
拐,かい,Kidnap
冠,かん,"Crown, Cap"
勲,くん,Merit
酬,しゅう,Repay
紋,もん,Family Crest
卸,おろし,Wholesale
欄,らん,"Column, Space"
逸,いつ,"Deviate, Elude"
尚,しょう,"Furthermore, Esteem"
顕,けん,"Appear, Exist"
粛,しゅく,Solemn
愚,ぐ,Foolish
庶,しょ,"All, Bastard"
践,せん,"Practice, Trample"
呈,てい,"Present, Display"
疎,そ,"Neglect, Sparse"
疾,しつ,"Rapidly, Rapid"
謡,よう,"Noh Chanting, Noh Chant"
鎌,かま,"Sickle, Scythe"
酷,こく,"Cruel, Unjust"
叙,じょ,Describe
且,か,Also
痴,ち,Stupid
呆,ほう,Shock
哺,ほ,"Suckle, Nurse"
傲,ごう,Proud
茎,くき,Stem
阿,あ,Flatter
悠,ゆう,Leisure
杏,あんず,Apricot
茜,あかね,"Red Dye, Madder"
栞,しおり,Bookmark
伏,ふく,"Bow, Lay"
鎮,ちん,Tranquilize
奉,ほう,Dedicate
憂,ゆう,Grief
朴,ぼく,"Simple, Crude"
栃,とち,Horse Chestnut
惜,せき,Frugal
佳,か,"Excellent, Skilled"
悼,とう,"Grieve, Mourn"
該,がい,"The Above, That Specifically"
赴,ふ,"Proceed, Move On"
髄,ずい,"Marrow, Bone Marrow"
傍,ぼう,"Nearby, Side"
累,るい,Accumulate
癒,ゆ,"Healing, Cure"
郭,かく,Enclosure
尿,にょう,"Urine, Pee"
賓,ひん,"VIP, Guest"
虜,りょ,Captive
憾,かん,"Remorse, Regret"
弥,や,Increasing
粗,そ,"Coarse, Rough"
循,じゅん,"Circulation, Sequential"
凝,ぎょう,"Congeal, Freeze, Absorbed In"
脊,せき,"Stature, Height"
昌,しょう,"Prosperous, Prosperity"
旦,たん,Dawn
愉,ゆ,Pleasant
抹,まつ,Erase
栓,せん,"Cork, Plug"
之,これ,"This, This One"
龍,りゅう,"Imperial, Dragon"
遼,りょう,Distant
瑛,えい,Crystal
那,な,What
拍,はく,Beat
猶,ゆう,"Still, Yet"
宰,さい,Manager
寂,じゃく,Lonely
縫,ほう,Sew
呉,ご,Give
凡,ぼん,Mediocre
恭,うやうや,Respect
錯,さく,"Confused, Mixed"
穀,こく,Grain
陵,りょう,"Mausoleum, Tomb"
弊,へい,Evil
舶,はく,Ship
窮,きゅう,Destitute
悦,えつ,"Delight, Joy"
縛,ばく,"Bind, Restrain"
轄,かつ,Control
弦,げん,"Chord, Bowstring"
窒,ちつ,Suffocate
洪,こう,Flood
摂,せつ,In Addition
飽,ほう,"Bored, Sated"
紳,しん,Gentleman
庸,よう,Common
靖,やす,Peaceful
嘉,か,"Esteem, Praise"
搾,さく,Squeeze
蝶,ちょう,Butterfly
碑,ひ,Tombstone
尉,い,"Military Officer, Military Rank"
凛,りん,Cold
匠,しょう,Artisan
遥,はる,"Far Off, Far Away"
智,ち,Wisdom
柴,しば,"Brushwood, Firewood"
賊,ぞく,Robber
鼓,こ,"Drum, Beat"
旋,せん,"Rotation, Revolution"
腸,ちょう,Intestines
槽,そう,"Tank, Vat"
伐,ばつ,"Fell, Attack"
漬,つ,Pickle
坪,つぼ,"Two Mat Area, Tsubo"
紺,こん,"Navy Blue, Dark Blue"
羅,ら,"Spread Out, Arrange"
峡,きょう,Ravine
俸,ほう,Salary
醸,じょう,Brew
弔,ちょう,Condolence
乙,おつ,"Latter, B"
遍,へん,Universal
衡,こう,Equilibrium
款,かん,"Article, Sincerity"
閲,えつ,Inspection
喝,かつ,Scold
敢,かん,Daring
膜,まく,Membrane
盲,もう,Blind
胎,たい,"Womb, Uterus"
酵,こう,"Fermentation, Ferment"
堕,だ,Degenerate
遮,しゃ,Intercept
烏,からす,Crow
凸,とつ,"Convex, Uneven"
凹,おう,"Concave, Hollow"
楓,かえで,Maple
哉,や,"Question Mark, ?"
蒼,そう,"Pale, Blue"
瑠,る,Lapis Lazuli
萌,ほう,Sprout
硫,りゅう,"Sulfur, Sulphur"
赦,しゃ,Pardon
窃,せつ,Steal
慨,がい,Sigh
扶,ふ,Aid
戯,ぎ,Play
忌,き,Mourning
濁,だく,"Muddy, Impure"
奔,ほん,"Run, Bustle"
肖,しょう,Resemblance
朽,きゅう,"Rot, Decay"
殻,かく,"Husk, Shell"
享,きょう,Receive
藩,はん,Fiefdom
媒,ばい,Mediator
鶏,けい,Chicken
嘱,しょく,"Request, Entrust"
迭,てつ,Alternate
椎,つい,"Spine, Evergreen Beech"
絹,けん,Silk
陪,ばい,Accompany
剖,ぼう,Divide
譜,ふ,"Genealogy, Score"
淑,しゅく,Graceful
帆,はん,Sail
憤,ふん,Resent
酌,しゃく,"Serve, Scoop"
暁,あかつき,Dawn
傑,けつ,"Greatness, Excellence"
錠,じょう,Lock
凌,しの,Endure
瑞,みず,Congratulations
菅,すが,Sedge
漣,れん,Ripples
璃,り,Glassy
遷,せん,Transition
拙,せつ,"Clumsy, Unskillful"
峠,とうげ,"Mountain Pass, The Worst"
篤,とく,Deliberate
叔,お,"Uncle, Aunt"
雌,めす,Female
堪,こら,Endure
吟,ぎん,Recital
甚,じん,"Very, Great"
崇,すう,"Worship, Revere"
漆,しつ,"Lacquer, Varnish"
岬,みさき,Cape
紡,ぼう,"Spinning, Spin"
礁,しょう,Reef
屯,とん,Barracks
姻,いん,Marry
擬,ぎ,Imitate
睦,ぼく,Friendly
閑,かん,Leisure
曹,そう,Official
詠,えい,"Compose, Recite"
卑,ひ,"Lowly, Base"
侮,ぶ,Despise
鋳,ちゅう,"Cast, Casting"
蔑,べつ,"Scorn, Neglect"
胆,たん,Guts
浪,ろう,Wander
禍,か,"Evil, Misfortune"
酪,らく,Dairy
憧,あこが,"Long For, Yearn"
慶,けい,Congratulate
亜,あ,Asia
汰,た,Select
梓,あずさ,"Japanese Birch, Birch"
沙,さ,Sand
逝,せい,Die
匿,とく,Hide
寡,か,Widow
痢,り,"Diarrhea, Diarrhoea"
坑,こう,"Pit, Hole"
藍,あい,Indigo
畔,はん,Shore
唄,うた,Shamisen Song
拷,ごう,Torture
渓,けい,Valley
廉,れん,Bargain
謹,きん,"Humble, Discreet"
湧,ゆう,Well Up
醜,しゅう,Ugly
升,ます,"Grid, Measure"
殉,じゅん,Martyr
煩,はん,"Annoy, Annoying"
劾,がい,Censure
桟,さん,"Jetty, Pier"
婿,むこ,Groom
慕,ぼ,"Yearn For, Adore"
罷,ひ,"Quit, Leave"
矯,きょう,"Correct, Straighten"
某,ぼう,"Certain, One, That Person"
囚,しゅう,Criminal
泌,ひ,Secrete
漸,ようや,"Gradually, Steadily"
藻,そう,Seaweed
妄,もう,Reckless
蛮,ばん,Barbarian
倹,けん,"Thrifty, Frugal"
狐,きつね,Fox
匂,にお,"Smell, Scent"
嬉,き,"Glad, Happy"
嘘,うそ,Lie
串,くし,"Skewer, Spit"
喉,こう,Throat
叩,こう,"Tap, Strike, Slap"
飴,あめ,Candy
噂,うわさ,"Rumor, Gossip"
諦,あきら,"Give Up, Abandon"
捉,とら,Catch
膝,ひざ,Knee
眉,み,Eyebrows
濡,ぬ,"Wet, Damp"
痩,そう,Thin
羨,せん,"Envy, Jealousy"
慌,こう,"Confused, Bewildered"
挨,あい,Push Open
拶,さつ,"Draw Close, Be Imminent"
斤,きん,"Axe, Bread Loaf Counter"
袖,そで,Sleeve
凄,せい,"Amazing, Wonderful, Terrible, Awful"
妖,よう,"Supernatural, Enchanting"
喋,しゃべ,"Chat, Talk"
鮭,さけ,Salmon
宛,あて,Address
蹴,け,Kick
喧,けん,"Noisy, Picky"
嘩,か,Rowdy
麺,めん,Noodles
苺,いちご,Strawberry
股,こ,"Crotch, Groin, Fork"
柵,さく,Fence
噛,か,"Bite, Chew"
狼,おおかみ,Wolf
咳,せき,Cough
拉,ら,"Abduct, Pull"
苛,いじ,Frustration
煎,せん,Roast
戚,せき,Relatives
餅,もち,"Mochi, Sticky Rice Cake"
屁,へ,"Flatulence, Gas"
璧,へき,"Disc, Jade Disc"
痒,かゆ,Itchy
冥,めい,Underworld
莫,ばく,Endless
頁,ページ,Page
勿,もち,Must Not
繋,つな,Connect
揃,そろ,Complete
炒,いた,Fry
肢,し,Limb
蘇,そ,Revive
