kanji,readings,meaning
馬,ば,Horse
森,もり,"Forest, Woods"
場,じょう,"Location, Place"
朝,あさ,Morning
番,ばん,"Number In A Series, Turn, Ordinal Number"
答,こた,"Answer, Response, Reply"
絵,え,"Drawing, Painting"
買,か,Buy
道,どう,"Road, Street, Path, Way"
間,かん,"Interval, Interval of Time, Interval of Space"
雲,くも,Cloud
数,すう,"Count, Number, Amount"
楽,らく,"Comfort, Ease, Pleasure"
話,わ,"Talk, Speak"
電,でん,Electricity
所,しょ,Place
事,じ,"Action, Matter, Thing"
使,し,Use
具,ぐ,Tool
受,じゅ,"Accept, Receive"
和,わ,"Peace, Japanese Style"
始,し,"Begin, Start"
定,てい,Determine
実,じつ,"Truth, Reality"
服,ふく,"Clothes, Clothing"
泳,およ,Swim
物,ぶつ,Thing
苦,く,Suffering
表,ひょう,Express
部,ぶ,"Part, Department, Club"
乗,の,Ride
客,きゃく,"Guest, Customer"
屋,や,"Roof, Shop, Store"
度,ど,"Degree, Occurrence"
待,たい,Wait
持,じ,Hold
界,かい,World
発,はつ,Departure
相,そう,"Mutual, Minister"
県,けん,Prefecture
美,び,"Beauty, Beautiful"
負,ふ,Lose
送,そう,Send
重,じゅう,Heavy
談,だん,Talk
要,よう,Need
勝,しょう,"Win, Victory"
仮,か,Temporary
起,お,Wake Up
速,そく,Fast
配,はい,Distribute
酒,しゅ,Alcohol
院,いん,Institution
終,しゅう,"End, Finish"
習,しゅう,Learn
転,てん,Revolve
進,しん,Advance
落,らく,Fall
葉,は,"Leaf, Leaves"
軽,かる,"Lightweight, Light, Light Weight"
運,うん,"Carry, Luck"
開,かい,Open
集,しゅう,"Collect, Gather"
飲,の,Drink
業,ぎょう,Business
漢,かん,"Chinese, China"
路,ろ,Road
農,のう,"Farming, Agriculture"
鉄,てつ,Iron
歌,か,"Song, Sing"
算,さん,"Calculate, Calculation"
聞,ぶん,Hear
語,ご,Language
読,よ,Read
鳴,な,Chirp
線,せん,Line
横,よこ,"Side, Horizontal"
調,ちょう,"Investigate, Tone"
親,しん,"Parent, Intimacy"
頭,あたま,Head
顔,かお,Face
病,びょう,"Sick, Sickness, Ill, Illness"
最,さい,Most
争,そう,Conflict
仲,なか,Relationship
伝,でん,"Transmit, Tell"
共,きょう,Together
好,こう,Like
成,せい,Become
老,ろう,Elderly
位,い,Rank
低,てい,Low
初,しょ,First
別,べつ,Separate
利,り,"Profit, Benefit, Advantage"
努,ど,Toil
労,ろう,Labor
命,めい,"Fate, Life"
岸,がん,"Coast, Shore"
放,ほう,Release
昔,むかし,"Long Ago, Long Time Ago"
波,は,Wave
注,ちゅう,Pour
育,いく,"Nurture, Raise"
拾,ひろ,Pick Up
指,し,Finger
洋,よう,"Western Style, Ocean"
神,しん,God
秒,びょう,Second
級,きゅう,"Level, Grade, Rank"
追,お,"Follow, Chase"
戦,せん,"War, Battle"
競,きょう,Compete
良,りょう,Good
功,こう,"Achievement, Accomplishment"
特,とく,Special
便,べん,"Convenience, Convenient"
働,どう,Work
令,れい,Orders
意,い,Idea
味,み,"Flavor, Taste"
勉,べん,Exertion
庭,てい,Garden
息,そく,Breath
旅,りょ,"Trip, Travel"
根,こん,Root
流,りゅう,Stream
消,しょう,Extinguish
倍,ばい,"Double, Times, Multiply"
員,いん,Member
島,しま,Island
祭,さい,Festival
章,しょう,Chapter
第,だい,"Ordinal Number Prefix, Ordinal Prefix, Number"
都,と,Metropolis
動,どう,Move
商,しょう,Merchandise
悪,あく,"Bad, Evil"
族,ぞく,"Tribe, Family"
深,しん,Deep
球,きゅう,"Sphere, Ball"
童,どう,Juvenile
陽,よう,"Sunshine, Sunlight"
階,かい,"Floor, Story"
寒,さむ,Cold
悲,ひ,Sad
暑,あつ,"Hot, Hot Weather"
期,き,"Period Of Time, Time Period"
植,しょく,Plant
歯,は,"Tooth, Teeth"
温,おん,Warm
港,こう,"Harbor, Port, Harbour"
湯,ゆ,Hot Water
登,とう,Climb
着,ちゃく,"Wear, Arrive"
短,たん,Short
野,や,Field
泉,せん,"Spring, Fountain"
生,せい,Life
亡,ぼう,"Death, Deceased"
合,ごう,"Suit, Fit, Join"
風,ふう,"Wind, Style"
予,よ,Beforehand
反,はん,Anti
々,のま,"Repeater, Repetition, Reduplication, Iteration Mark"
新,しん,New
返,へん,Return
問,もん,"Problem, Question"
宿,しゅく,Lodge
想,そう,"Imagine, Contemplate"
感,かん,Feeling
整,せい,"Arrange, Organize"
暗,あん,Dark
様,さま,"Formal Name Title, Formal Name Ender, Manner"
橋,はし,Bridge
福,ふく,"Luck, Fortune"
緑,みどり,Green
練,れん,Practice
詩,し,Poem
銀,ぎん,Silver
題,だい,Topic
館,かん,Public Building
駅,えき,"Station, Train Station"
億,おく,Hundred Million
器,き,"Container, Vessel, Tool"
士,し,Samurai
料,りょう,"Fee, Material"
標,ひょう,Signpost
殺,さつ,Kill
然,ぜん,Nature
熱,ねつ,"Heat, Fever"
課,か,Section
賞,しょう,Prize
輪,りん,"Wheel, Ring, Loop, Circle"
選,せん,Choose
鏡,かがみ,Mirror
願,がん,Request
養,よう,Foster
像,ぞう,"Statue, Image"
情,じょう,"Feeling, Emotion"
謝,しゃ,Apologize
映,えい,"Reflect, Reflection"
疑,ぎ,Doubt
皆,みな,"All, Everyone, Everything, Everybody"
例,れい,Example
卒,そつ,Graduate
協,きょう,Cooperation
参,さん,Participate
周,しゅう,Circumference
囲,い,Surround
固,こ,Hard
季,き,Seasons
完,かん,Perfect
希,き,Wish
念,ねん,Thought
折,せつ,"Fold, Bend, Break"
望,ぼう,Hope
材,ざい,"Lumber, Material, Timber"
束,そく,Bundle
松,まつ,"Pine, Pine Tree"
残,ざん,Remainder
求,きゅう,Request
的,てき,"Target, -al"
約,やく,Promise
芸,げい,"Art, Performance"
基,き,Foundation
性,せい,"Gender, Nature, Sex"
技,ぎ,"Skill, Technique"
格,かく,Status
能,のう,Ability
術,じゅつ,"Technique, Art"
私,し,"I, Private"
骨,こつ,Bone
妥,だ,Gentle
雰,ふん,Atmosphere
頑,がん,Stubborn
寺,てら,Temple
岩,いわ,Boulder
帰,かえ,"Return, Return Home"
春,はる,Spring
昼,ひる,Noon
晴,は,Clear Up
秋,あき,"Autumn, Fall"
計,けい,"Measure, Measurement"
列,れつ,Row
区,く,"District, Ward"
坂,さか,Slope
式,しき,"Ritual, Ceremony, Equation"
信,しん,"Believe, Trust"
勇,ゆう,"Courage, Bravery, Valor, Valour"
単,たん,Simple
司,し,Director
変,へん,"Change, Strange"
夫,ふう,Husband
建,けん,"Build, Construct"
昨,さく,"Previous, Yesterday"
毒,どく,Poison
法,ほう,"Method, Law"
泣,な,Cry
浅,あさ,Shallow
紀,き,"Account, Narrative"
英,えい,"England, English"
軍,ぐん,Army
飯,はん,"Meal, Food"
仏,ぶつ,Buddha
築,ちく,"Construct, Build"
晩,ばん,"Night, Evening"
猫,ねこ,Cat
園,えん,"Garden, Park"
曜,よう,"Weekday, Day Of The Week"
書,しょ,"Write, Writing"
遠,えん,Far
門,もん,"Gates, Gate"
係,けい,Connection
取,と,Take
品,ひん,"Product, Article, Goods, Products"
守,す,Protect
幸,こう,Happiness
急,きゅう,"Hurry, Sudden"
真,しん,Reality
箱,はこ,Box
荷,に,Luggage
面,めん,"Face, Surface"
典,てん,Rule
喜,き,"Rejoice, Delighted, Pleased"
府,ふ,Government
治,じ,"Cure, Heal, Reign, Rule"
浴,よく,Bathe
笑,わら,Laugh
辞,じ,"Quit, Word"
関,かん,"Related, Connected"
保,ほ,"Preserve, Guarantee"
弁,べん,"Dialect, Speech"
政,せい,"Politics, Government"
留,る,Detain
証,しょう,"Evidence, Proof"
険,けん,"Risky, Steep"
危,き,Dangerous
存,そん,"Exist, Suppose"
専,せん,Specialty
冒,ぼう,Dare
冗,じょう,"Superfluous, Unnecessary, Uselessness"
阪,はん,"Heights, Slope"
原,げん,"Original, Fundamental, Field"
細,さい,"Thin, Detailed"
薬,やく,"Medicine, Drug, Drugs"
鼻,はな,Nose
側,がわ,Side
兵,へい,Soldier
堂,どう,"Hall, Public Chamber"
塩,しお,Salt
席,せき,Seat
敗,はい,"Failure, Defeat"
果,か,Fruit
栄,えい,"Prosper, Flourish"
梅,うめ,"Ume, Japanese Plum"
無,む,Nothing
結,けつ,"Bind, Tie"
因,いん,Cause
常,じょう,"Normal, Ordinary, Usual"
識,しき,"Discerning, Discriminating, Know"
非,ひ,"Injustice, Negative, Mistake"
干,かん,Dry
是,ぜ,Absolutely
渉,しょう,"Ford, Wade"
虚,きょ,Void
官,かん,Government
察,さつ,Guess
底,そこ,Bottom
愛,あい,Love
署,しょ,"Government Office, Political Office, Office"
警,けい,"Warn, Admonish"
恋,れん,"Romance, Love"
覚,かく,"Memorize, Awake"
説,せつ,Theory
幻,げん,Illusion
訓,くん,Instruction
試,し,"Try, Attempt"
弓,きゅう,Bow
告,こく,Announce
種,しゅ,"Kind, Type, Seed"
達,たつ,"Attain, Plural"
類,るい,"Type, Category, Kind"
報,ほう,"News, Report"
祈,き,Pray
等,とう,Equal
汽,き,Steam
借,しゃく,Borrow
焼,や,"Bake, Cook, Burn"
座,ざ,"Sit, Seat"
忘,ぼう,Forget
洗,せん,Wash
胸,むね,"Chest, Breast"
脳,のう,Brain
僧,そう,"Priest, Monk"
禅,ぜん,"Zen, Zen Buddhism"
験,けん,Test
可,か,"Possible, Passable"
許,きょ,"Permit, Allow"
枚,まい,"Flat Object Counter, Counter For Flat Objects"
静,せい,Quiet
句,く,Paragraph
禁,きん,"Prohibit, Prohibition"
喫,きつ,Consume
煙,えん,Smoke
加,か,Add
節,せつ,"Season, Joint"
減,げん,Decrease
順,じゅん,"Order, Sequence"
容,よう,"Form, Appearance"
布,ふ,Cloth
易,い,Easy
財,さい,Wealth
若,わか,Young
詞,し,"Part Of Speech, Speech Particle, Particle Of Speech, Grammar Particle"
昆,こん,Insect
閥,ばつ,"Clique, Clan"
歴,れき,Continuation
舌,した,Tongue
冊,さつ,"Book Counter, Counter For Books"
宇,う,Outer Space
宙,ちゅう,Midair
忙,ぼう,Busy
履,り,Boots
団,だん,Group
暴,ぼう,Violence
